Year,Year_ending,Local_Government_Area,Charge_Status,Incidents_Recorded
2016,December,Queenscliffe,No charges laid,10
2016,December,Queenscliffe,Unsolved,81
2016,December,South Gippsland,Charges laid,560
2016,December,South Gippsland,No charges laid,169
2016,December,South Gippsland,Unsolved,410
2016,December,Southern Grampians,Charges laid,552
2016,December,Southern Grampians,No charges laid,168
2016,December,Southern Grampians,Unsolved,267
2016,December,Stonnington,Charges laid,"2,810"
2016,December,Stonnington,No charges laid,"1,081"
2016,December,Stonnington,Unsolved,"5,286"
2016,December,Strathbogie,Charges laid,229
2016,December,Strathbogie,No charges laid,65
2016,December,Strathbogie,Unsolved,185
2016,December,Surf Coast,Charges laid,353
2016,December,Surf Coast,No charges laid,133
2016,December,Surf Coast,Unsolved,607
2016,December,Swan Hill,Charges laid,927
2016,December,Swan Hill,No charges laid,376
2016,December,Swan Hill,Unsolved,432
2016,December,Towong,Charges laid,81
2016,December,Towong,No charges laid,39
2016,December,Towong,Unsolved,56
2016,December,Wangaratta,Charges laid,924
2016,December,Wangaratta,No charges laid,370
2016,December,Wangaratta,Unsolved,517
2016,December,Warrnambool,Charges laid,"1,290"
2016,December,Warrnambool,No charges laid,425
2016,December,Warrnambool,Unsolved,777
2016,December,Wellington,Charges laid,"1,608"
2016,December,Wellington,No charges laid,615
2016,December,Wellington,Unsolved,"1,095"
2016,December,West Wimmera,Charges laid,42
2016,December,West Wimmera,No charges laid,30
2016,December,West Wimmera,Unsolved,36
2016,December,Whitehorse,Charges laid,"2,011"
2016,December,Whitehorse,No charges laid,649
2016,December,Whitehorse,Unsolved,"3,694"
2016,December,Whittlesea,Charges laid,"4,061"
2016,December,Whittlesea,No charges laid,"1,387"
2016,December,Whittlesea,Unsolved,"7,631"
2016,December,Wodonga,Charges laid,"1,323"
2016,December,Wodonga,No charges laid,303
2016,December,Wodonga,Unsolved,870
2016,December,Wyndham,Charges laid,"4,532"
2016,December,Wyndham,No charges laid,"1,119"
2016,December,Wyndham,Unsolved,"6,719"
2016,December,Yarra,Charges laid,"3,490"
2016,December,Yarra,No charges laid,"1,118"
2016,December,Yarra,Unsolved,"6,685"
2016,December,Yarra Ranges,Charges laid,"2,865"
2016,December,Yarra Ranges,No charges laid,869
2016,December,Yarra Ranges,Unsolved,"2,719"
2016,December,Yarriambiack,Charges laid,158
2016,December,Yarriambiack,No charges laid,63
2016,December,Yarriambiack,Unsolved,109
2015,December,Alpine,Charges laid,165
2015,December,Alpine,No charges laid,82
2015,December,Alpine,Unsolved,110
2015,December,Ararat,Charges laid,447
2015,December,Ararat,No charges laid,181
2015,December,Ararat,Unsolved,282
2015,December,Ballarat,Charges laid,"3,137"
2015,December,Ballarat,No charges laid,"1,023"
2015,December,Ballarat,Unsolved,"4,570"
2015,December,Banyule,Charges laid,"2,614"
2015,December,Banyule,No charges laid,"1,071"
2015,December,Banyule,Unsolved,"3,172"
2015,December,Bass Coast,Charges laid,841
2015,December,Bass Coast,No charges laid,432
2015,December,Bass Coast,Unsolved,656
2015,December,Baw Baw,Charges laid,"1,193"
2015,December,Baw Baw,No charges laid,449
2015,December,Baw Baw,Unsolved,848
2015,December,Bayside,Charges laid,923
2015,December,Bayside,No charges laid,511
2015,December,Bayside,Unsolved,"2,209"
2015,December,Benalla,Charges laid,380
2015,December,Benalla,No charges laid,170
2015,December,Benalla,Unsolved,260
2015,December,Boroondara,Charges laid,"1,383"
2015,December,Boroondara,No charges laid,605
2015,December,Boroondara,Unsolved,"3,909"
2015,December,Brimbank,Charges laid,"5,792"
2015,December,Brimbank,No charges laid,"1,207"
2015,December,Brimbank,Unsolved,"7,822"
2015,December,Buloke,Charges laid,61
2015,December,Buloke,No charges laid,20
2015,December,Buloke,Unsolved,97
2015,December,Campaspe,Charges laid,"1,030"
2015,December,Campaspe,No charges laid,328
2015,December,Campaspe,Unsolved,974
2015,December,Cardinia,Charges laid,"1,711"
2015,December,Cardinia,No charges laid,845
2015,December,Cardinia,Unsolved,"2,123"
2015,December,Casey,Charges laid,"5,533"
2015,December,Casey,No charges laid,"2,201"
2015,December,Casey,Unsolved,"7,423"
2015,December,Central Goldfields,Charges laid,460
2015,December,Central Goldfields,No charges laid,136
2015,December,Central Goldfields,Unsolved,250
2015,December,Colac-Otway,Charges laid,544
2015,December,Colac-Otway,No charges laid,209
2015,December,Colac-Otway,Unsolved,440
2015,December,Corangamite,Charges laid,199
2015,December,Corangamite,No charges laid,81
2015,December,Corangamite,Unsolved,227
2015,December,Darebin,Charges laid,"3,571"
2015,December,Darebin,No charges laid,"1,107"
2015,December,Darebin,Unsolved,"6,796"
2015,December,East Gippsland,Charges laid,"1,351"
2015,December,East Gippsland,No charges laid,692
2015,December,East Gippsland,Unsolved,"1,104"
2015,December,Frankston,Charges laid,"5,044"
2015,December,Frankston,No charges laid,"1,615"
2015,December,Frankston,Unsolved,"4,266"
2015,December,Gannawarra,Charges laid,218
2015,December,Gannawarra,No charges laid,79
2015,December,Gannawarra,Unsolved,159
2015,December,Glen Eira,Charges laid,"1,383"
2015,December,Glen Eira,No charges laid,697
2015,December,Glen Eira,Unsolved,"3,061"
2015,December,Glenelg,Charges laid,547
2015,December,Glenelg,No charges laid,200
2015,December,Glenelg,Unsolved,480
2015,December,Golden Plains,Charges laid,137
2015,December,Golden Plains,No charges laid,53
2015,December,Golden Plains,Unsolved,353
2015,December,Greater Bendigo,Charges laid,"2,792"
2015,December,Greater Bendigo,No charges laid,994
2015,December,Greater Bendigo,Unsolved,"2,563"
2015,December,Greater Dandenong,Charges laid,"5,483"
2015,December,Greater Dandenong,No charges laid,"2,018"
2015,December,Greater Dandenong,Unsolved,"6,014"
2015,December,Greater Geelong,Charges laid,"4,986"
2015,December,Greater Geelong,No charges laid,"2,059"
2015,December,Greater Geelong,Unsolved,"8,406"
2015,December,Greater Shepparton,Charges laid,"2,477"
2015,December,Greater Shepparton,No charges laid,776
2015,December,Greater Shepparton,Unsolved,"2,245"
2015,December,Hepburn,Charges laid,192
2015,December,Hepburn,No charges laid,51
2015,December,Hepburn,Unsolved,341
2015,December,Hindmarsh,Charges laid,90
2015,December,Hindmarsh,No charges laid,36
2015,December,Hindmarsh,Unsolved,36
2015,December,Hobsons Bay,Charges laid,"1,856"
2015,December,Hobsons Bay,No charges laid,610
2015,December,Hobsons Bay,Unsolved,"2,892"
2015,December,Horsham,Charges laid,"1,129"
2015,December,Horsham,No charges laid,333
2015,December,Horsham,Unsolved,511
2015,December,Hume,Charges laid,"5,486"
2015,December,Hume,No charges laid,"1,727"
2015,December,Hume,Unsolved,"7,669"
2015,December,Indigo,Charges laid,141
2015,December,Indigo,No charges laid,47
2015,December,Indigo,Unsolved,192
2015,December,Kingston,Charges laid,"2,928"
2015,December,Kingston,No charges laid,"1,203"
2015,December,Kingston,Unsolved,"3,934"
2015,December,Knox,Charges laid,"2,775"
2015,December,Knox,No charges laid,972
2015,December,Knox,Unsolved,"3,608"
2015,December,Latrobe,Charges laid,"4,638"
2015,December,Latrobe,No charges laid,"1,644"
2015,December,Latrobe,Unsolved,"2,737"
2015,December,Loddon,Charges laid,133
2015,December,Loddon,No charges laid,42
2015,December,Loddon,Unsolved,138
2015,December,Macedon Ranges,Charges laid,605
2015,December,Macedon Ranges,No charges laid,209
2015,December,Macedon Ranges,Unsolved,704
2015,December,Manningham,Charges laid,988
2015,December,Manningham,No charges laid,462
2015,December,Manningham,Unsolved,"1,904"
2015,December,Mansfield,Charges laid,137
2015,December,Mansfield,No charges laid,59
2015,December,Mansfield,Unsolved,143
2015,December,Maribyrnong,Charges laid,"2,475"
2015,December,Maribyrnong,No charges laid,714
2015,December,Maribyrnong,Unsolved,"3,720"
2015,December,Maroondah,Charges laid,"2,501"
2015,December,Maroondah,No charges laid,745
2015,December,Maroondah,Unsolved,"2,546"
2015,December,Melbourne,Charges laid,"9,283"
2015,December,Melbourne,No charges laid,"4,966"
2015,December,Melbourne,Unsolved,"10,599"
2015,December,Melton,Charges laid,"2,854"
2015,December,Melton,No charges laid,709
2015,December,Melton,Unsolved,"4,813"
2015,December,Mildura,Charges laid,"1,980"
2015,December,Mildura,No charges laid,826
2015,December,Mildura,Unsolved,"1,874"
2015,December,Mitchell,Charges laid,"1,172"
2015,December,Mitchell,No charges laid,499
2015,December,Mitchell,Unsolved,985
2015,December,Moira,Charges laid,491
2015,December,Moira,No charges laid,228
2015,December,Moira,Unsolved,385
2015,December,Monash,Charges laid,"2,215"
2015,December,Monash,No charges laid,789
2015,December,Monash,Unsolved,"4,521"
2015,December,Moonee Valley,Charges laid,"2,029"
2015,December,Moonee Valley,No charges laid,898
2015,December,Moonee Valley,Unsolved,"4,030"
2015,December,Moorabool,Charges laid,617
2015,December,Moorabool,No charges laid,218
2015,December,Moorabool,Unsolved,767
2015,December,Moreland,Charges laid,"3,130"
2015,December,Moreland,No charges laid,"1,103"
2015,December,Moreland,Unsolved,"6,934"
2015,December,Mornington Peninsula,Charges laid,"2,942"
2015,December,Mornington Peninsula,No charges laid,"1,579"
2015,December,Mornington Peninsula,Unsolved,"3,613"
2015,December,Mount Alexander,Charges laid,322
2015,December,Mount Alexander,No charges laid,144
2015,December,Mount Alexander,Unsolved,254
2015,December,Moyne,Charges laid,179
2015,December,Moyne,No charges laid,68
2015,December,Moyne,Unsolved,160
2015,December,Murrindindi,Charges laid,158
2015,December,Murrindindi,No charges laid,102
2015,December,Murrindindi,Unsolved,249
2015,December,Nillumbik,Charges laid,605
2015,December,Nillumbik,No charges laid,259
2015,December,Nillumbik,Unsolved,"1,077"
2015,December,Northern Grampians,Charges laid,392
2015,December,Northern Grampians,No charges laid,168
2015,December,Northern Grampians,Unsolved,251
2015,December,Port Phillip,Charges laid,"2,692"
2015,December,Port Phillip,No charges laid,"1,506"
2015,December,Port Phillip,Unsolved,"5,609"
2015,December,Pyrenees,Charges laid,106
2015,December,Pyrenees,No charges laid,38
2015,December,Pyrenees,Unsolved,211
2015,December,Queenscliffe,Charges laid,30
2015,December,Queenscliffe,No charges laid,14
2015,December,Queenscliffe,Unsolved,110
2015,December,South Gippsland,Charges laid,447
2015,December,South Gippsland,No charges laid,149
2015,December,South Gippsland,Unsolved,311
2015,December,Southern Grampians,Charges laid,406
2015,December,Southern Grampians,No charges laid,151
2015,December,Southern Grampians,Unsolved,242
2015,December,Stonnington,Charges laid,"2,345"
2015,December,Stonnington,No charges laid,"1,029"
2015,December,Stonnington,Unsolved,"4,402"
2015,December,Strathbogie,Charges laid,139
2015,December,Strathbogie,No charges laid,57
2015,December,Strathbogie,Unsolved,163
2015,December,Surf Coast,Charges laid,283
2015,December,Surf Coast,No charges laid,152
2015,December,Surf Coast,Unsolved,725
2015,December,Swan Hill,Charges laid,890
2015,December,Swan Hill,No charges laid,369
2015,December,Swan Hill,Unsolved,356
2015,December,Towong,Charges laid,65
2015,December,Towong,No charges laid,29
2015,December,Towong,Unsolved,73
2015,December,Wangaratta,Charges laid,706
2015,December,Wangaratta,No charges laid,472
2015,December,Wangaratta,Unsolved,451
2015,December,Warrnambool,Charges laid,"1,069"
2015,December,Warrnambool,No charges laid,372
2015,December,Warrnambool,Unsolved,716
2015,December,Wellington,Charges laid,"1,259"
2015,December,Wellington,No charges laid,563
2015,December,Wellington,Unsolved,"1,143"
2015,December,West Wimmera,Charges laid,50
2015,December,West Wimmera,No charges laid,25
2015,December,West Wimmera,Unsolved,28
2015,December,Whitehorse,Charges laid,"1,888"
2015,December,Whitehorse,No charges laid,578
2015,December,Whitehorse,Unsolved,"3,315"
2015,December,Whittlesea,Charges laid,"3,372"
2015,December,Whittlesea,No charges laid,"1,247"
2015,December,Whittlesea,Unsolved,"5,759"
2015,December,Wodonga,Charges laid,"1,395"
2015,December,Wodonga,No charges laid,294
2015,December,Wodonga,Unsolved,928
2015,December,Wyndham,Charges laid,"3,883"
2015,December,Wyndham,No charges laid,"1,006"
2015,December,Wyndham,Unsolved,"6,433"
2015,December,Yarra,Charges laid,"3,252"
2015,December,Yarra,No charges laid,"1,176"
2015,December,Yarra,Unsolved,"5,623"
2015,December,Yarra Ranges,Charges laid,"2,250"
2015,December,Yarra Ranges,No charges laid,851
2015,December,Yarra Ranges,Unsolved,"2,341"
2015,December,Yarriambiack,Charges laid,134
2015,December,Yarriambiack,No charges laid,66
2015,December,Yarriambiack,Unsolved,115
2014,December,Alpine,Charges laid,131
2014,December,Alpine,No charges laid,70
2014,December,Alpine,Unsolved,77
2014,December,Ararat,Charges laid,359
2014,December,Ararat,No charges laid,208
2014,December,Ararat,Unsolved,230
2014,December,Ballarat,Charges laid,"2,760"
2014,December,Ballarat,No charges laid,"1,220"
2014,December,Ballarat,Unsolved,"3,553"
2014,December,Banyule,Charges laid,"2,827"
2014,December,Banyule,No charges laid,683
2014,December,Banyule,Unsolved,"3,297"
2014,December,Bass Coast,Charges laid,806
2014,December,Bass Coast,No charges laid,454
2014,December,Bass Coast,Unsolved,736
2014,December,Baw Baw,Charges laid,"1,032"
2014,December,Baw Baw,No charges laid,498
2014,December,Baw Baw,Unsolved,748
2014,December,Bayside,Charges laid,815
2014,December,Bayside,No charges laid,529
2014,December,Bayside,Unsolved,"1,887"
2014,December,Benalla,Charges laid,405
2014,December,Benalla,No charges laid,133
2014,December,Benalla,Unsolved,281
2014,December,Boroondara,Charges laid,"1,324"
2014,December,Boroondara,No charges laid,577
2014,December,Boroondara,Unsolved,"3,785"
2014,December,Brimbank,Charges laid,"5,288"
2014,December,Brimbank,No charges laid,"1,222"
2014,December,Brimbank,Unsolved,"7,215"
2014,December,Buloke,Charges laid,63
2014,December,Buloke,No charges laid,42
2014,December,Buloke,Unsolved,75
2014,December,Campaspe,Charges laid,835
2014,December,Campaspe,No charges laid,384
2014,December,Campaspe,Unsolved,"1,111"
2014,December,Cardinia,Charges laid,"1,402"
2014,December,Cardinia,No charges laid,740
2014,December,Cardinia,Unsolved,"1,720"
2014,December,Casey,Charges laid,"4,299"
2014,December,Casey,No charges laid,"2,286"
2014,December,Casey,Unsolved,"6,341"
2014,December,Central Goldfields,Charges laid,382
2014,December,Central Goldfields,No charges laid,155
2014,December,Central Goldfields,Unsolved,268
2014,December,Colac-Otway,Charges laid,434
2014,December,Colac-Otway,No charges laid,273
2014,December,Colac-Otway,Unsolved,393
2014,December,Corangamite,Charges laid,185
2014,December,Corangamite,No charges laid,83
2014,December,Corangamite,Unsolved,206
2014,December,Darebin,Charges laid,"3,191"
2014,December,Darebin,No charges laid,"1,128"
2014,December,Darebin,Unsolved,"6,657"
2014,December,East Gippsland,Charges laid,"1,208"
2014,December,East Gippsland,No charges laid,757
2014,December,East Gippsland,Unsolved,956
2014,December,Frankston,Charges laid,"4,915"
2014,December,Frankston,No charges laid,"1,919"
2014,December,Frankston,Unsolved,"3,793"
2014,December,Gannawarra,Charges laid,197
2014,December,Gannawarra,No charges laid,95
2014,December,Gannawarra,Unsolved,135
2014,December,Glen Eira,Charges laid,"1,061"
2014,December,Glen Eira,No charges laid,669
2014,December,Glen Eira,Unsolved,"2,601"
2014,December,Glenelg,Charges laid,555
2014,December,Glenelg,No charges laid,237
2014,December,Glenelg,Unsolved,608
2014,December,Golden Plains,Charges laid,101
2014,December,Golden Plains,No charges laid,51
2014,December,Golden Plains,Unsolved,315
2014,December,Greater Bendigo,Charges laid,"2,798"
2014,December,Greater Bendigo,No charges laid,"1,146"
2014,December,Greater Bendigo,Unsolved,"2,239"
2014,December,Greater Dandenong,Charges laid,"4,923"
2014,December,Greater Dandenong,No charges laid,"2,056"
2014,December,Greater Dandenong,Unsolved,"5,081"
2014,December,Greater Geelong,Charges laid,"4,561"
2014,December,Greater Geelong,No charges laid,"2,011"
2014,December,Greater Geelong,Unsolved,"8,499"
2014,December,Greater Shepparton,Charges laid,"2,277"
2014,December,Greater Shepparton,No charges laid,878
2014,December,Greater Shepparton,Unsolved,"2,474"
2014,December,Hepburn,Charges laid,170
2014,December,Hepburn,No charges laid,75
2014,December,Hepburn,Unsolved,249
2014,December,Hindmarsh,Charges laid,65
2014,December,Hindmarsh,No charges laid,37
2014,December,Hindmarsh,Unsolved,45
2014,December,Hobsons Bay,Charges laid,"1,897"
2014,December,Hobsons Bay,No charges laid,748
2014,December,Hobsons Bay,Unsolved,"2,912"
2014,December,Horsham,Charges laid,772
2014,December,Horsham,No charges laid,369
2014,December,Horsham,Unsolved,436
2014,December,Hume,Charges laid,"4,865"
2014,December,Hume,No charges laid,"1,510"
2014,December,Hume,Unsolved,"6,848"
2014,December,Indigo,Charges laid,134
2014,December,Indigo,No charges laid,52
2014,December,Indigo,Unsolved,143
2014,December,Kingston,Charges laid,"2,621"
2014,December,Kingston,No charges laid,"1,209"
2014,December,Kingston,Unsolved,"3,342"
2014,December,Knox,Charges laid,"2,618"
2014,December,Knox,No charges laid,"1,025"
2014,December,Knox,Unsolved,"3,517"
2014,December,Latrobe,Charges laid,"3,838"
2014,December,Latrobe,No charges laid,"1,521"
2014,December,Latrobe,Unsolved,"2,456"
2014,December,Loddon,Charges laid,101
2014,December,Loddon,No charges laid,43
2014,December,Loddon,Unsolved,93
2014,December,Macedon Ranges,Charges laid,583
2014,December,Macedon Ranges,No charges laid,206
2014,December,Macedon Ranges,Unsolved,686
2014,December,Manningham,Charges laid,946
2014,December,Manningham,No charges laid,435
2014,December,Manningham,Unsolved,"1,749"
2014,December,Mansfield,Charges laid,141
2014,December,Mansfield,No charges laid,83
2014,December,Mansfield,Unsolved,164
2014,December,Maribyrnong,Charges laid,"2,195"
2014,December,Maribyrnong,No charges laid,932
2014,December,Maribyrnong,Unsolved,"3,449"
2014,December,Maroondah,Charges laid,"2,374"
2014,December,Maroondah,No charges laid,802
2014,December,Maroondah,Unsolved,"2,696"
2014,December,Melbourne,Charges laid,"8,700"
2014,December,Melbourne,No charges laid,"5,869"
2014,December,Melbourne,Unsolved,"9,156"
2014,December,Melton,Charges laid,"2,628"
2014,December,Melton,No charges laid,735
2014,December,Melton,Unsolved,"4,167"
2014,December,Mildura,Charges laid,"1,770"
2014,December,Mildura,No charges laid,953
2014,December,Mildura,Unsolved,"1,936"
2014,December,Mitchell,Charges laid,883
2014,December,Mitchell,No charges laid,479
2014,December,Mitchell,Unsolved,783
2014,December,Moira,Charges laid,443
2014,December,Moira,No charges laid,250
2014,December,Moira,Unsolved,390
2014,December,Monash,Charges laid,"1,955"
2014,December,Monash,No charges laid,730
2014,December,Monash,Unsolved,"4,200"
2014,December,Moonee Valley,Charges laid,"1,985"
2014,December,Moonee Valley,No charges laid,815
2014,December,Moonee Valley,Unsolved,"3,646"
2014,December,Moorabool,Charges laid,488
2014,December,Moorabool,No charges laid,239
2014,December,Moorabool,Unsolved,728
2014,December,Moreland,Charges laid,"2,678"
2014,December,Moreland,No charges laid,"1,096"
2014,December,Moreland,Unsolved,"6,521"
2014,December,Mornington Peninsula,Charges laid,"2,790"
2014,December,Mornington Peninsula,No charges laid,"1,650"
2014,December,Mornington Peninsula,Unsolved,"3,241"
2014,December,Mount Alexander,Charges laid,291
2014,December,Mount Alexander,No charges laid,114
2014,December,Mount Alexander,Unsolved,266
2014,December,Moyne,Charges laid,186
2014,December,Moyne,No charges laid,79
2014,December,Moyne,Unsolved,205
2014,December,Murrindindi,Charges laid,228
2014,December,Murrindindi,No charges laid,121
2014,December,Murrindindi,Unsolved,168
2014,December,Nillumbik,Charges laid,476
2014,December,Nillumbik,No charges laid,230
2014,December,Nillumbik,Unsolved,879
2014,December,Northern Grampians,Charges laid,311
2014,December,Northern Grampians,No charges laid,191
2014,December,Northern Grampians,Unsolved,195
2014,December,Port Phillip,Charges laid,"2,541"
2014,December,Port Phillip,No charges laid,"1,576"
2014,December,Port Phillip,Unsolved,"4,963"
2014,December,Pyrenees,Charges laid,116
2014,December,Pyrenees,No charges laid,40
2014,December,Pyrenees,Unsolved,190
2014,December,Queenscliffe,Charges laid,19
2014,December,Queenscliffe,No charges laid,14
2014,December,Queenscliffe,Unsolved,69
2014,December,South Gippsland,Charges laid,397
2014,December,South Gippsland,No charges laid,150
2014,December,South Gippsland,Unsolved,354
2014,December,Southern Grampians,Charges laid,324
2014,December,Southern Grampians,No charges laid,163
2014,December,Southern Grampians,Unsolved,219
2014,December,Stonnington,Charges laid,"2,060"
2014,December,Stonnington,No charges laid,"1,125"
2014,December,Stonnington,Unsolved,"3,973"
2014,December,Strathbogie,Charges laid,125
2014,December,Strathbogie,No charges laid,68
2014,December,Strathbogie,Unsolved,147
2014,December,Surf Coast,Charges laid,274
2014,December,Surf Coast,No charges laid,147
2014,December,Surf Coast,Unsolved,561
2014,December,Swan Hill,Charges laid,849
2014,December,Swan Hill,No charges laid,399
2014,December,Swan Hill,Unsolved,381
2014,December,Towong,Charges laid,58
2014,December,Towong,No charges laid,36
2014,December,Towong,Unsolved,54
2014,December,Wangaratta,Charges laid,761
2014,December,Wangaratta,No charges laid,473
2014,December,Wangaratta,Unsolved,455
2014,December,Warrnambool,Charges laid,904
2014,December,Warrnambool,No charges laid,404
2014,December,Warrnambool,Unsolved,678
2014,December,Wellington,Charges laid,"1,105"
2014,December,Wellington,No charges laid,562
2014,December,Wellington,Unsolved,"1,233"
2014,December,West Wimmera,Charges laid,52
2014,December,West Wimmera,No charges laid,13
2014,December,West Wimmera,Unsolved,34
2014,December,Whitehorse,Charges laid,"1,664"
2014,December,Whitehorse,No charges laid,643
2014,December,Whitehorse,Unsolved,"3,393"
2014,December,Whittlesea,Charges laid,"3,149"
2014,December,Whittlesea,No charges laid,"1,385"
2014,December,Whittlesea,Unsolved,"5,705"
2014,December,Wodonga,Charges laid,"1,191"
2014,December,Wodonga,No charges laid,299
2014,December,Wodonga,Unsolved,941
2014,December,Wyndham,Charges laid,"3,420"
2014,December,Wyndham,No charges laid,930
2014,December,Wyndham,Unsolved,"5,807"
2014,December,Yarra,Charges laid,"3,171"
2014,December,Yarra,No charges laid,"1,436"
2014,December,Yarra,Unsolved,"5,351"
2014,December,Yarra Ranges,Charges laid,"1,935"
2014,December,Yarra Ranges,No charges laid,916
2014,December,Yarra Ranges,Unsolved,"2,502"
2014,December,Yarriambiack,Charges laid,79
2014,December,Yarriambiack,No charges laid,43
2014,December,Yarriambiack,Unsolved,67
2013,December,Alpine,Charges laid,140
2013,December,Alpine,No charges laid,95
2013,December,Alpine,Unsolved,128
2013,December,Ararat,Charges laid,431
2013,December,Ararat,No charges laid,148
2013,December,Ararat,Unsolved,295
2013,December,Ballarat,Charges laid,"2,609"
2013,December,Ballarat,No charges laid,"1,235"
2013,December,Ballarat,Unsolved,"4,264"
2013,December,Banyule,Charges laid,"2,414"
2013,December,Banyule,No charges laid,667
2013,December,Banyule,Unsolved,"3,349"
2013,December,Bass Coast,Charges laid,759
2013,December,Bass Coast,No charges laid,434
2013,December,Bass Coast,Unsolved,777
2013,December,Baw Baw,Charges laid,928
2013,December,Baw Baw,No charges laid,396
2013,December,Baw Baw,Unsolved,891
2013,December,Bayside,Charges laid,802
2013,December,Bayside,No charges laid,508
2013,December,Bayside,Unsolved,"2,179"
2013,December,Benalla,Charges laid,338
2013,December,Benalla,No charges laid,179
2013,December,Benalla,Unsolved,337
2013,December,Boroondara,Charges laid,"1,310"
2013,December,Boroondara,No charges laid,694
2013,December,Boroondara,Unsolved,"3,961"
2013,December,Brimbank,Charges laid,"5,253"
2013,December,Brimbank,No charges laid,"1,672"
2013,December,Brimbank,Unsolved,"8,348"
2013,December,Buloke,Charges laid,66
2013,December,Buloke,No charges laid,33
2013,December,Buloke,Unsolved,88
2013,December,Campaspe,Charges laid,681
2013,December,Campaspe,No charges laid,370
2013,December,Campaspe,Unsolved,"1,049"
2013,December,Cardinia,Charges laid,"1,379"
2013,December,Cardinia,No charges laid,718
2013,December,Cardinia,Unsolved,"2,247"
2013,December,Casey,Charges laid,"3,860"
2013,December,Casey,No charges laid,"2,294"
2013,December,Casey,Unsolved,"5,902"
2013,December,Central Goldfields,Charges laid,331
2013,December,Central Goldfields,No charges laid,197
2013,December,Central Goldfields,Unsolved,283
2013,December,Colac-Otway,Charges laid,393
2013,December,Colac-Otway,No charges laid,234
2013,December,Colac-Otway,Unsolved,394
2013,December,Corangamite,Charges laid,156
2013,December,Corangamite,No charges laid,97
2013,December,Corangamite,Unsolved,203
2013,December,Darebin,Charges laid,"2,862"
2013,December,Darebin,No charges laid,"1,198"
2013,December,Darebin,Unsolved,"5,958"
2013,December,East Gippsland,Charges laid,"1,146"
2013,December,East Gippsland,No charges laid,704
2013,December,East Gippsland,Unsolved,"1,221"
2013,December,Frankston,Charges laid,"4,402"
2013,December,Frankston,No charges laid,"2,446"
2013,December,Frankston,Unsolved,"3,934"
2013,December,Gannawarra,Charges laid,177
2013,December,Gannawarra,No charges laid,86
2013,December,Gannawarra,Unsolved,150
2013,December,Glen Eira,Charges laid,"1,041"
2013,December,Glen Eira,No charges laid,739
2013,December,Glen Eira,Unsolved,"2,955"
2013,December,Glenelg,Charges laid,507
2013,December,Glenelg,No charges laid,167
2013,December,Glenelg,Unsolved,510
2013,December,Golden Plains,Charges laid,109
2013,December,Golden Plains,No charges laid,41
2013,December,Golden Plains,Unsolved,252
2013,December,Greater Bendigo,Charges laid,"2,489"
2013,December,Greater Bendigo,No charges laid,"1,195"
2013,December,Greater Bendigo,Unsolved,"2,369"
2013,December,Greater Dandenong,Charges laid,"4,638"
2013,December,Greater Dandenong,No charges laid,"2,653"
2013,December,Greater Dandenong,Unsolved,"5,195"
2013,December,Greater Geelong,Charges laid,"4,103"
2013,December,Greater Geelong,No charges laid,"2,089"
2013,December,Greater Geelong,Unsolved,"7,361"
2013,December,Greater Shepparton,Charges laid,"1,902"
2013,December,Greater Shepparton,No charges laid,994
2013,December,Greater Shepparton,Unsolved,"2,220"
2013,December,Hepburn,Charges laid,138
2013,December,Hepburn,No charges laid,69
2013,December,Hepburn,Unsolved,317
2013,December,Hindmarsh,Charges laid,81
2013,December,Hindmarsh,No charges laid,36
2013,December,Hindmarsh,Unsolved,67
2013,December,Hobsons Bay,Charges laid,"1,650"
2013,December,Hobsons Bay,No charges laid,783
2013,December,Hobsons Bay,Unsolved,"3,013"
2013,December,Horsham,Charges laid,662
2013,December,Horsham,No charges laid,262
2013,December,Horsham,Unsolved,423
2013,December,Hume,Charges laid,"4,300"
2013,December,Hume,No charges laid,"1,499"
2013,December,Hume,Unsolved,"6,231"
2013,December,Indigo,Charges laid,129
2013,December,Indigo,No charges laid,68
2013,December,Indigo,Unsolved,158
2013,December,Kingston,Charges laid,"2,540"
2013,December,Kingston,No charges laid,"1,343"
2013,December,Kingston,Unsolved,"3,446"
2013,December,Knox,Charges laid,"2,158"
2013,December,Knox,No charges laid,"1,173"
2013,December,Knox,Unsolved,"3,592"
2013,December,Latrobe,Charges laid,"3,676"
2013,December,Latrobe,No charges laid,"1,379"
2013,December,Latrobe,Unsolved,"2,563"
2013,December,Loddon,Charges laid,116
2013,December,Loddon,No charges laid,48
2013,December,Loddon,Unsolved,100
2013,December,Macedon Ranges,Charges laid,543
2013,December,Macedon Ranges,No charges laid,234
2013,December,Macedon Ranges,Unsolved,612
2013,December,Manningham,Charges laid,954
2013,December,Manningham,No charges laid,475
2013,December,Manningham,Unsolved,"1,683"
2013,December,Mansfield,Charges laid,91
2013,December,Mansfield,No charges laid,76
2013,December,Mansfield,Unsolved,126
2013,December,Maribyrnong,Charges laid,"2,192"
2013,December,Maribyrnong,No charges laid,"1,140"
2013,December,Maribyrnong,Unsolved,"3,624"
2013,December,Maroondah,Charges laid,"2,156"
2013,December,Maroondah,No charges laid,822
2013,December,Maroondah,Unsolved,"2,519"
2013,December,Melbourne,Charges laid,"8,204"
2013,December,Melbourne,No charges laid,"6,996"
2013,December,Melbourne,Unsolved,"9,424"
2013,December,Melton,Charges laid,"2,114"
